Student,Math,English,Chemistry,Physics,CS
student162,13/100,87/100,34/100,13/100,43/100
student163,30/100,87/100,31/100,23/100,6/100
student164,64/100,64/100,13/100,55/100,63/100
student165,80/100,97/100,3/100,80/100,8/100
student166,85/100,98/100,27/100,87/100,97/100
student167,7/100,54/100,37/100,84/100,41/100
student168,95/100,86/100,31/100,56/100,70/100
student169,43/100,33/100,57/100,95/100,61/100
student170,10/100,17/100,24/100,41/100,87/100
student171,37/100,67/100,62/100,15/100,50/100
student172,63/100,86/100,85/100,91/100,19/100
student173,25/100,30/100,34/100,79/100,53/100
student174,11/100,92/100,87/100,15/100,90/100
student175,10/100,65/100,74/100,27/100,44/100
student176,83/100,37/100,77/100,42/100,11/100
student177,86/100,92/100,27/100,7/100,49/100
student178,54/100,58/100,99/100,90/100,48/100
student179,30/100,13/100,53/100,41/100,85/100
student180,38/100,78/100,99/100,72/100,83/100
student181,44/100,74/100,51/100,73/100,84/100
student182,81/100,27/100,17/100,63/100,22/100
student183,84/100,83/100,12/100,96/100,11/100
student184,30/100,29/100,33/100,25/100,1/100
student185,37/100,61/100,51/100,5/100,18/100
student186,48/100,95/100,97/100,40/100,76/100
student187,37/100,97/100,87/100,87/100,98/100
student188,16/100,51/100,12/100,100/100,39/100
student189,52/100,38/100,38/100,53/100,80/100
student190,24/100,88/100,61/100,60/100,43/100
student191,24/100,17/100,5/100,6/100,2/100
student192,62/100,32/100,7/100,94/100,18/100
student193,4/100,87/100,81/100,32/100,64/100
student194,47/100,60/100,53/100,89/100,65/100
student195,3/100,40/100,89/100,29/100,78/100
student196,48/100,100/100,41/100,29/100,35/100
student197,54/100,79/100,83/100,36/100,44/100
student198,81/100,28/100,8/100,34/100,26/100
student199,100/100,98/100,94/100,93/100,3/100
student200,39/100,77/100,84/100,17/100,85/100
student201,18/100,81/100,93/100,40/100,80/100
student202,37/100,89/100,30/100,68/100,18/100
student203,19/100,81/100,26/100,66/100,86/100
student204,56/100,77/100,20/100,7/100,41/100
student205,15/100,56/100,98/100,33/100,56/100
student206,22/100,65/100,87/100,54/100,67/100
student207,39/100,23/100,48/100,12/100,77/100
student208,79/100,8/100,31/100,45/100,73/100
student209,21/100,21/100,20/100,99/100,2/100
student210,27/100,62/100,68/100,50/100,2/100
student211,30/100,8/100,66/100,49/100,96/100
student212,51/100,14/100,60/100,41/100,10/100
student213,7/100,26/100,63/100,91/100,52/100
student214,51/100,31/100,34/100,85/100,47/100
student215,87/100,89/100,62/100,46/100,77/100
student216,47/100,66/100,76/100,38/100,17/100
student217,50/100,57/100,77/100,77/100,10/100
student218,88/100,41/100,11/100,10/100,15/100
student219,32/100,83/100,84/100,2/100,12/100
student220,36/100,86/100,57/100,98/100,77/100
student221,16/100,75/100,36/100,43/100,49/100
student222,83/100,88/100,92/100,18/100,16/100
student223,56/100,82/100,30/100,18/100,29/100
student224,57/100,70/100,12/100,54/100,66/100
student225,47/100,17/100,90/100,9/100,77/100
student226,54/100,89/100,31/100,86/100,76/100
student227,29/100,84/100,9/100,82/100,73/100
student228,10/100,30/100,52/100,72/100,86/100
student229,92/100,20/100,68/100,68/100,51/100
student230,43/100,27/100,88/100,90/100,85/100
student231,60/100,62/100,2/100,53/100,90/100
student232,86/100,50/100,46/100,36/100,18/100
student233,36/100,23/100,80/100,24/100,37/100
student234,18/100,63/100,19/100,92/100,53/100
student235,36/100,1/100,20/100,27/100,17/100
student236,10/100,34/100,89/100,28/100,20/100
student237,70/100,85/100,99/100,51/100,89/100
student238,99/100,40/100,14/100,12/100,25/100
student239,25/100,49/100,33/100,87/100,78/100
student240,16/100,46/100,37/100,9/100,81/100
student241,35/100,36/100,51/100,47/100,44/100
student242,37/100,93/100,16/100,82/100,32/100
student243,33/100,22/100,98/100,40/100,48/100
student244,41/100,69/100,82/100,78/100,37/100
student245,7/100,98/100,24/100,38/100,61/100
student246,80/100,62/100,48/100,100/100,35/100
student247,10/100,3/100,77/100,98/100,15/100
student248,52/100,24/100,86/100,23/100,14/100
student249,30/100,46/100,77/100,4/100,6/100
student250,56/100,92/100,42/100,69/100,95/100
student251,47/100,54/100,84/100,24/100,80/100
student252,39/100,16/100,98/100,15/100,57/100
student253,34/100,10/100,74/100,69/100,45/100
student254,20/100,11/100,34/100,17/100,24/100
student255,51/100,28/100,52/100,15/100,2/100
student256,15/100,62/100,83/100,2/100,42/100
student257,41/100,71/100,21/100,30/100,39/100
student258,11/100,21/100,79/100,63/100,64/100
student259,11/100,29/100,65/100,38/100,47/100
student260,94/100,23/100,78/100,34/100,38/100
student261,98/100,75/100,82/100,29/100,61/100
student262,8/100,81/100,86/100,71/100,68/100
student263,59/100,100/100,89/100,13/100,50/100
student264,77/100,29/100,26/100,58/100,74/100
student265,47/100,94/100,44/100,66/100,17/100
student266,43/100,10/100,98/100,17/100,82/100
student267,10/100,29/100,51/100,93/100,20/100
student268,74/100,11/100,18/100,41/100,46/100
student269,25/100,15/100,85/100,81/100,18/100
student270,86/100,73/100,63/100,40/100,14/100
student271,73/100,69/100,79/100,72/100,24/100
student272,20/100,59/100,27/100,66/100,5/100
student273,69/100,61/100,12/100,76/100,43/100
student274,32/100,79/100,39/100,13/100,65/100
student275,18/100,44/100,86/100,16/100,24/100
student276,39/100,12/100,1/100,88/100,44/100
student277,100/100,42/100,57/100,99/100,15/100
student278,2/100,63/100,77/100,51/100,71/100
student279,17/100,10/100,33/100,6/100,87/100
student280,72/100,53/100,65/100,81/100,20/100
student281,31/100,86/100,28/100,81/100,41/100
student282,7/100,96/100,20/100,60/100,39/100
student283,11/100,88/100,34/100,18/100,49/100
student284,23/100,31/100,75/100,46/100,4/100
student285,70/100,56/100,82/100,6/100,42/100
student286,6/100,51/100,7/100,56/100,33/100
student287,19/100,30/100,10/100,52/100,87/100
student288,56/100,47/100,44/100,97/100,76/100
student289,41/100,22/100,26/100,16/100,28/100
student290,56/100,10/100,67/100,79/100,39/100
student291,7/100,12/100,43/100,65/100,75/100
student292,87/100,80/100,38/100,9/100,61/100
student293,11/100,98/100,69/100,3/100,22/100
student294,81/100,59/100,36/100,81/100,3/100
student295,96/100,87/100,72/100,100/100,45/100
student296,50/100,17/100,11/100,58/100,30/100
student297,81/100,62/100,99/100,55/100,70/100
student298,25/100,63/100,65/100,76/100,35/100
student299,67/100,52/100,83/100,77/100,47/100
