Student,Math,English,Chemistry,Physics,CS
student279,27/100,44/100,32/100,46/100,48/100
student280,100/100,48/100,55/100,98/100,25/100
student281,43/100,44/100,50/100,30/100,83/100
student282,62/100,31/100,81/100,100/100,65/100
student283,34/100,4/100,27/100,83/100,1/100
student284,95/100,78/100,6/100,85/100,81/100
student285,82/100,86/100,2/100,44/100,25/100
student286,32/100,48/100,97/100,50/100,94/100
student287,20/100,20/100,66/100,31/100,53/100
student288,22/100,95/100,36/100,65/100,49/100
student289,23/100,33/100,77/100,11/100,41/100
student290,47/100,62/100,85/100,31/100,54/100
student291,1/100,31/100,8/100,42/100,7/100
student292,62/100,19/100,47/100,55/100,55/100
student293,81/100,48/100,39/100,28/100,19/100
student294,54/100,68/100,29/100,72/100,82/100
student295,22/100,26/100,5/100,20/100,12/100
student296,75/100,94/100,81/100,19/100,31/100
student297,94/100,69/100,89/100,80/100,60/100
student298,26/100,100/100,67/100,48/100,51/100
student299,32/100,35/100,25/100,36/100,82/100
