Student,Math,English,Chemistry,Physics,CS
student122,61/100,99/100,67/100,78/100,17/100
student123,74/100,88/100,54/100,52/100,50/100
student124,45/100,67/100,81/100,1/100,4/100
student125,22/100,42/100,90/100,21/100,89/100
student126,42/100,41/100,27/100,11/100,13/100
student127,64/100,99/100,53/100,18/100,97/100
student128,54/100,96/100,25/100,23/100,86/100
student129,72/100,14/100,31/100,98/100,84/100
student130,9/100,19/100,86/100,19/100,23/100
student131,97/100,71/100,80/100,28/100,100/100
student132,15/100,64/100,87/100,25/100,100/100
student133,90/100,61/100,9/100,62/100,91/100
student134,73/100,85/100,67/100,66/100,52/100
student135,91/100,32/100,71/100,33/100,80/100
student136,88/100,90/100,88/100,12/100,29/100
student137,16/100,57/100,1/100,2/100,39/100
student138,37/100,81/100,22/100,16/100,97/100
student139,12/100,23/100,98/100,10/100,22/100
student140,50/100,55/100,19/100,2/100,86/100
student141,47/100,21/100,94/100,18/100,26/100
student142,4/100,45/100,19/100,57/100,88/100
student143,35/100,67/100,55/100,36/100,5/100
student144,45/100,55/100,34/100,5/100,45/100
student145,100/100,30/100,75/100,62/100,83/100
student146,69/100,11/100,55/100,28/100,96/100
student147,1/100,75/100,96/100,99/100,10/100
student148,75/100,36/100,48/100,85/100,16/100
student149,68/100,74/100,35/100,59/100,74/100
student150,90/100,89/100,71/100,91/100,33/100
student151,71/100,41/100,84/100,68/100,28/100
student152,29/100,61/100,58/100,60/100,9/100
student153,62/100,27/100,73/100,21/100,3/100
student154,52/100,28/100,9/100,98/100,84/100
student155,51/100,64/100,4/100,20/100,64/100
student156,27/100,44/100,22/100,33/100,97/100
student157,25/100,41/100,33/100,7/100,15/100
student158,4/100,29/100,33/100,24/100,67/100
student159,68/100,39/100,62/100,72/100,12/100
student160,6/100,40/100,28/100,3/100,53/100
student161,36/100,41/100,12/100,7/100,79/100
student162,96/100,89/100,5/100,6/100,5/100
student163,71/100,72/100,30/100,87/100,37/100
student164,76/100,46/100,26/100,65/100,98/100
student165,78/100,81/100,33/100,64/100,82/100
student166,39/100,43/100,79/100,30/100,46/100
student167,35/100,46/100,72/100,88/100,84/100
student168,50/100,40/100,35/100,13/100,53/100
student169,4/100,10/100,25/100,26/100,49/100
student170,16/100,58/100,62/100,61/100,63/100
student171,9/100,87/100,14/100,16/100,3/100
student172,70/100,92/100,37/100,64/100,22/100
student173,35/100,20/100,94/100,22/100,62/100
student174,82/100,87/100,14/100,23/100,21/100
student175,15/100,25/100,15/100,73/100,57/100
student176,75/100,62/100,3/100,50/100,63/100
student177,41/100,73/100,4/100,26/100,92/100
student178,18/100,77/100,38/100,90/100,22/100
student179,59/100,28/100,51/100,70/100,99/100
student180,68/100,6/100,49/100,60/100,35/100
student181,53/100,24/100,99/100,65/100,86/100
student182,31/100,36/100,40/100,17/100,25/100
student183,31/100,41/100,74/100,5/100,66/100
student184,35/100,3/100,88/100,100/100,93/100
student185,32/100,59/100,91/100,81/100,77/100
student186,44/100,61/100,47/100,27/100,100/100
student187,32/100,27/100,71/100,20/100,71/100
student188,31/100,85/100,27/100,54/100,21/100
student189,95/100,22/100,55/100,12/100,42/100
student190,28/100,78/100,69/100,66/100,100/100
student191,3/100,75/100,91/100,1/100,38/100
student192,69/100,3/100,97/100,41/100,63/100
student193,37/100,31/100,100/100,11/100,97/100
student194,48/100,93/100,58/100,37/100,79/100
student195,4/100,75/100,1/100,78/100,96/100
student196,81/100,53/100,65/100,91/100,74/100
student197,72/100,30/100,18/100,49/100,15/100
student198,69/100,54/100,66/100,19/100,57/100
student199,29/100,21/100,36/100,60/100,93/100
student200,31/100,26/100,30/100,61/100,48/100
student201,14/100,20/100,33/100,61/100,21/100
student202,33/100,98/100,12/100,49/100,95/100
student203,7/100,88/100,48/100,47/100,78/100
student204,50/100,66/100,45/100,92/100,63/100
student205,91/100,63/100,44/100,38/100,77/100
student206,49/100,15/100,64/100,32/100,94/100
student207,82/100,2/100,75/100,74/100,19/100
student208,75/100,13/100,37/100,74/100,90/100
student209,48/100,37/100,8/100,5/100,5/100
student210,60/100,53/100,93/100,50/100,81/100
student211,72/100,83/100,10/100,66/100,16/100
student212,30/100,23/100,28/100,19/100,98/100
student213,24/100,56/100,1/100,63/100,11/100
student214,2/100,64/100,62/100,62/100,60/100
student215,20/100,73/100,26/100,66/100,48/100
student216,31/100,6/100,34/100,43/100,28/100
student217,26/100,60/100,41/100,23/100,94/100
student218,65/100,42/100,69/100,95/100,76/100
student219,69/100,45/100,21/100,34/100,72/100
student220,88/100,29/100,66/100,55/100,5/100
student221,81/100,29/100,14/100,50/100,99/100
student222,72/100,68/100,48/100,5/100,10/100
student223,76/100,46/100,43/100,88/100,65/100
student224,36/100,66/100,87/100,1/100,42/100
student225,18/100,16/100,24/100,2/100,65/100
student226,15/100,69/100,90/100,84/100,91/100
student227,28/100,10/100,29/100,58/100,100/100
student228,62/100,44/100,67/100,72/100,40/100
student229,32/100,71/100,96/100,53/100,96/100
student230,97/100,90/100,28/100,71/100,97/100
student231,11/100,43/100,33/100,93/100,72/100
student232,70/100,37/100,73/100,86/100,84/100
student233,3/100,62/100,55/100,33/100,66/100
student234,63/100,94/100,84/100,25/100,19/100
student235,11/100,89/100,85/100,41/100,39/100
student236,47/100,15/100,10/100,47/100,34/100
student237,20/100,93/100,25/100,68/100,33/100
student238,38/100,32/100,53/100,45/100,70/100
student239,47/100,25/100,83/100,77/100,38/100
student240,4/100,80/100,17/100,48/100,45/100
student241,70/100,38/100,74/100,92/100,36/100
student242,41/100,79/100,31/100,55/100,39/100
student243,45/100,88/100,94/100,73/100,80/100
student244,62/100,14/100,54/100,9/100,85/100
student245,45/100,57/100,98/100,18/100,74/100
student246,75/100,91/100,49/100,1/100,96/100
student247,34/100,38/100,47/100,99/100,14/100
student248,49/100,50/100,46/100,27/100,81/100
student249,82/100,12/100,60/100,22/100,86/100
student250,65/100,79/100,65/100,27/100,26/100
student251,6/100,7/100,11/100,9/100,87/100
student252,5/100,43/100,10/100,44/100,71/100
student253,77/100,89/100,87/100,79/100,63/100
student254,77/100,84/100,88/100,80/100,48/100
student255,55/100,1/100,90/100,23/100,66/100
student256,79/100,35/100,80/100,34/100,86/100
student257,8/100,20/100,6/100,24/100,49/100
student258,23/100,88/100,98/100,17/100,4/100
student259,12/100,24/100,5/100,64/100,53/100
student260,49/100,92/100,68/100,59/100,80/100
student261,64/100,49/100,98/100,66/100,49/100
student262,46/100,55/100,39/100,17/100,47/100
student263,22/100,74/100,6/100,38/100,82/100
student264,15/100,72/100,47/100,41/100,38/100
student265,86/100,48/100,31/100,90/100,27/100
student266,77/100,8/100,39/100,13/100,54/100
student267,26/100,9/100,59/100,89/100,10/100
student268,79/100,44/100,64/100,84/100,41/100
student269,35/100,17/100,59/100,63/100,18/100
student270,57/100,68/100,70/100,2/100,23/100
student271,40/100,38/100,38/100,19/100,48/100
student272,72/100,37/100,49/100,15/100,63/100
student273,78/100,79/100,27/100,58/100,51/100
student274,9/100,21/100,51/100,78/100,35/100
student275,86/100,72/100,25/100,93/100,16/100
student276,51/100,87/100,4/100,59/100,56/100
student277,74/100,13/100,12/100,39/100,27/100
student278,86/100,35/100,49/100,30/100,18/100
student279,58/100,62/100,41/100,40/100,66/100
student280,5/100,19/100,69/100,60/100,64/100
student281,21/100,72/100,36/100,79/100,60/100
student282,47/100,19/100,23/100,65/100,27/100
student283,1/100,95/100,95/100,40/100,4/100
student284,21/100,74/100,55/100,24/100,47/100
student285,73/100,55/100,69/100,27/100,53/100
student286,57/100,76/100,51/100,26/100,65/100
student287,38/100,15/100,43/100,36/100,64/100
student288,95/100,56/100,62/100,14/100,36/100
student289,23/100,56/100,33/100,80/100,70/100
student290,94/100,81/100,11/100,59/100,13/100
student291,95/100,88/100,13/100,45/100,20/100
student292,49/100,67/100,69/100,4/100,81/100
student293,81/100,23/100,53/100,66/100,7/100
student294,36/100,37/100,18/100,12/100,100/100
student295,76/100,36/100,1/100,31/100,9/100
student296,14/100,66/100,5/100,15/100,82/100
student297,50/100,78/100,77/100,46/100,42/100
student298,51/100,6/100,33/100,62/100,78/100
student299,36/100,52/100,44/100,83/100,86/100
